date,rank,track_name,artist,streams,album_name,track_uri,weeks_on_chart,peak_rank,previous_rank,album_cover_url
2024-11-07,64,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",13588714,CHROMAKOPIA,spotify:track:2aYHxnMF2umAavtgBvmkY1,2,45,45,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c
2024-11-07,65,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",13365213,GOLDEN,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,69,1,70,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
2024-11-07,66,PELIGROSA,FloyyMenor,13314081,EL COMIENZO,spotify:track:42wdz3j7gstgUuhoFLCXqd,13,26,60,https://i.scdn.co/image/ab67616d0000b273200e2b6526846c59789c92e6
2024-11-07,67,Stargazing,Myles Smith,13292349,Stargazing,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,26,16,74,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a
2024-11-07,68,In the End,Linkin Park,13273230,Hybrid Theory (Bonus Edition),spotify:track:60a0Rd6pjrkxjPbaKzXjfq,65,22,76,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
2024-11-07,69,Whiplash,aespa,13089636,Whiplash - The 5th Mini Album,spotify:track:7Cnpb1vBbC46RgVyyKLH7p,3,53,53,https://i.scdn.co/image/ab67616d0000b2736eb604294f8f58c9078f58b1
2024-11-07,70,Blinding Lights,The Weeknd,13082554,After Hours,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,258,1,71,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
2024-11-07,71,I'll Be There,Jin,12953830,I'll Be There,spotify:track:2Qcbspnftnon37jibwyvMU,2,27,27,https://i.scdn.co/image/ab67616d0000b273ca460fa4699d9890f44f4df9
2024-11-07,72,Another Love,Tom Odell,12944247,Long Way Down (Deluxe),spotify:track:7jtQIBanIiJOMS6RyCx6jZ,187,15,85,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
2024-11-07,73,My Love Mine All Mine,Mitski,12915598,The Land Is Inhospitable and So Are We,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,59,3,84,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10
2024-11-07,74,Starboy,"The Weeknd, Daft Punk",12889383,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,214,1,81,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
2024-11-07,75,MILLION DOLLAR BABY,Tommy Richman,12777948,MILLION DOLLAR BABY,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,28,1,73,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f
2024-11-07,76,Numb,Linkin Park,12639218,Meteora,spotify:track:2nLtzopw4rPReszdYBJU6h,36,24,91,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
2024-11-07,77,Apocalypse,Cigarettes After Sex,12583524,Cigarettes After Sex,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,121,68,95,https://i.scdn.co/image/ab67616d0000b273dfed999f959177dfc4f33cdc
2024-11-07,78,Story of My Life,One Direction,12579633,Midnight Memories (Deluxe),spotify:track:4nVBt6MZDDP6tRVdQTgxJg,5,17,43,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1
2024-11-07,79,LUNA,"Feid, ATL Jacob",12501082,FERXXOCALIPSIS,spotify:track:7bywjHOc0wSjGGbj04XbVi,48,9,80,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242
2024-11-07,80,505,Arctic Monkeys,12470383,Favourite Worst Nightmare,spotify:track:58ge6dfP91o9oXMzq3XkIS,148,43,99,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface
2024-11-07,81,Juno,Sabrina Carpenter,12465112,Short n' Sweet,spotify:track:21B4gaTWnTkuSh77iWEXdS,11,23,75,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
